year,machine learning,artificial intelligence,big data,neural network,expert system
1950,9.834305106370955e-10,5.1204956819789205e-09,1.9716807526937163e-10,5.752755454294101e-09,2.3014381130004313e-09
1951,1.5578185755260598e-09,6.8061713667799674e-09,2.2382653092067884e-10,7.267917753739361e-09,3.207053238252211e-09
1952,1.472145272583362e-09,6.906947618012805e-09,2.0391842150043377e-10,6.561091185399344e-09,3.124848496858605e-09
1953,1.962869755622876e-09,1.017117302881676e-08,2.642805270260317e-10,8.726227166450899e-09,3.767276881323183e-09
1954,2.099186005577458e-09,1.0751223738661838e-08,3.45158327514599e-10,9.025660814962081e-09,3.555323464204158e-09
1955,3.81372548422362e-09,1.5501076398662306e-08,4.529600980010937e-10,9.286329947074838e-09,4.472676725018688e-09
1956,7.532796793076533e-09,2.2555465827419792e-08,4.941574015062043e-10,1.1646768046023683e-08,4.5962686375165615e-09
1957,1.4552987198260656e-08,4.94190422522681e-08,6.559528733677108e-10,1.3496881784821496e-08,5.227126194186558e-09
1958,1.982184053105669e-08,6.203254061313913e-08,9.031219542051819e-10,1.3936500153315697e-08,6.30080303110863e-09
1959,2.924921808823105e-08,1.2254927794378263e-07,1.1569114168647715e-09,1.802899541761668e-08,2.8473215371781017e-08
1960,3.4007240616783033e-08,1.5611891044217276e-07,1.158066596983e-09,1.8310770877724306e-08,2.7928270975625347e-08
1961,3.985828713510514e-08,1.8830661882177478e-07,1.1792158856525704e-09,2.004061613285797e-08,3.137800829087847e-08
1962,4.487897950092697e-08,2.279049390477691e-07,1.2978100994669767e-09,2.698240815501851e-08,3.033175591546763e-08
1963,4.607865855543736e-08,2.6149836550106086e-07,1.603978364810616e-09,2.918768490987679e-08,3.064702637203423e-08
1964,4.747267621864536e-08,2.847777724745981e-07,1.6582939198404668e-09,3.025090697780389e-08,3.2299706313346614e-08
1965,4.950472528733993e-08,3.2348753618651115e-07,1.632349365795641e-09,3.3368144588700026e-08,3.8873799281762585e-08
1966,4.5310851626290116e-08,3.148341815822115e-07,1.7487192259722585e-09,3.2551622492731676e-08,1.7962803703800275e-08
1967,4.5618044897111076e-08,3.3002099821187265e-07,2.4577691677486945e-09,3.263557816054633e-08,1.8723684003042947e-08
1968,4.554172020451322e-08,3.6771923715507775e-07,2.761576363419227e-09,3.4500926369775345e-08,1.6431249617865348e-08
1969,4.344619671961933e-08,3.970569077336807e-07,3.0488043220985467e-09,3.215575589925785e-08,1.7368132471900266e-08
1970,4.186736812794579e-08,4.412262692353254e-07,3.0118047956400366e-09,3.056642209183938e-08,1.8035631805484494e-08
1971,3.639042089886857e-08,4.699027460475236e-07,3.223686818479684e-09,3.519863779016014e-08,2.264319732111656e-08
1972,3.2015894205602735e-08,5.226636756410536e-07,3.3940360021475097e-09,3.4481517284325395e-08,1.4955299711425348e-08
1973,2.868406758148114e-08,5.614770695367659e-07,3.417551795626655e-09,3.683119834515683e-08,1.5003397978857747e-08
1974,2.80819588059446e-08,6.627657597338806e-07,3.083091042882513e-09,4.131084284970348e-08,2.5662989089446957e-08
1975,2.513711475479344e-08,7.218998305802415e-07,3.4249087400454024e-09,4.238090690294223e-08,2.7822979609225847e-08
1976,2.311833089249252e-08,8.05428849202729e-07,3.6747392267008234e-09,4.3613837057738484e-08,2.976278151166554e-08
1977,2.4395549104637227e-08,8.791125711837822e-07,4.3620096795506306e-09,4.7188806362452596e-08,3.784982857145601e-08
1978,2.3887090872769838e-08,9.814408922384895e-07,4.716836212785371e-09,4.5536735089018224e-08,4.3521671796700346e-08
1979,2.449161995036039e-08,1.1217129477967904e-06,5.159323937322023e-09,4.7394714050178315e-08,6.872277038311963e-08
1980,3.799858460821046e-08,1.3790913772230136e-06,5.667653644022711e-09,4.6718859598409475e-08,1.4330850403191216e-07
1981,4.22547442868737e-08,1.725921758272924e-06,6.145897227646405e-09,5.002750685141015e-08,2.835639581398399e-07
1982,5.776414817502764e-08,2.288437223845514e-06,6.383419255486165e-09,5.8743406139427634e-08,6.281132602925511e-07
1983,9.199714436675903e-08,2.948740236620649e-06,6.40622823737193e-09,7.238172796051958e-08,1.1650915670806988e-06
1984,1.296043223020238e-07,3.674761122190213e-06,6.366913576717957e-09,1.2457515595278223e-07,1.8719435200978803e-06
1985,1.7673618758960533e-07,4.41121496156224e-06,6.522363188234325e-09,2.2796010950327477e-07,2.7838336167691177e-06
1986,2.4104469502945444e-07,5.065841723502932e-06,6.11415422358779e-09,4.21259480933221e-07,3.6218416396798555e-06
1987,3.1959862816550407e-07,5.587159131031123e-06,6.024342033164995e-09,8.357278631037396e-07,4.37514375966381e-06
1988,4.032959238945263e-07,5.8895964189429965e-06,5.647967432036755e-09,1.4489481460370053e-06,4.985286725148593e-06
1989,4.858321111760638e-07,5.900579990582498e-06,5.387639054134562e-09,2.0632524072742143e-06,5.208263942790836e-06
1990,5.490060361879046e-07,5.692281007441125e-06,5.377038752743931e-09,2.7407880036633965e-06,5.106103655196291e-06
