year,internet,spacecraft,antibiotics,neural network,nuclear energy
1900,1.653500629507365e-07,7.772036653141967e-09,1.5125939972771008e-08,2.7776909175547537e-09,1.8120619636741164e-08
1901,1.3602270280965725e-07,6.217629322513574e-09,1.4547870885728286e-08,2.2221527340438033e-09,1.4542073797918497e-08
1902,1.1684756519534749e-07,5.502765854092928e-09,1.236428180210562e-08,1.8708695009861387e-09,1.2538057062490745e-08
1903,1.0444268581536305e-07,5.545491946598195e-09,1.6909857034460733e-08,1.7246339872085366e-09,1.4453497495078451e-08
1904,2.6263769613486613e-08,1.7503877652869093e-09,1.241331355166559e-08,2.0174706746470657e-10,5.7651528560996395e-09
1905,2.54226910792862e-08,1.2453190641391135e-09,1.304380686696043e-08,1.674866753223877e-10,5.5527921477164075e-09
1906,2.4142831083524237e-08,2.377234514397816e-09,1.2862331111902175e-08,1.674866753223877e-10,5.50536937367539e-09
1907,2.3088493363219798e-08,4.838463762582964e-09,1.0924717550240905e-08,1.813991952680029e-10,7.674159836371493e-09
1908,2.446388437461953e-08,7.418661238894104e-09,1.0041416139060033e-08,1.9443113884782496e-10,8.110754040613342e-09
1909,2.6994086041850655e-08,7.1707306104855965e-09,1.180548081117624e-08,2.0424351594914928e-10,7.829532115897842e-09
1910,2.8491489658626675e-08,2.6672156552831613e-08,7.050029203283158e-09,8.32119581573032e-11,7.81076318207008e-09
1911,3.179681964254888e-08,2.6640449072935975e-08,7.918355499070273e-09,2.521354127466806e-10,7.688560833631262e-09
1912,3.345893762845315e-08,2.6799004255807975e-08,1.3381241461115791e-08,6.764749365831665e-10,8.06478739147552e-09
1913,3.431887704574699e-08,2.6787426421878302e-08,1.4872479569311942e-08,6.764749365831665e-10,7.987070869765386e-09
1914,3.568511339202551e-08,2.432619717369316e-08,1.3627012642300088e-08,6.625624166375513e-10,5.315559465804816e-09
1915,4.559871983968376e-08,2.3307994484863693e-08,1.3208656196583846e-08,6.646752662153865e-10,7.239286738521969e-09
1916,5.184309300108682e-08,2.3430951101973844e-08,1.2713054684373606e-08,6.385124125858026e-10,7.790212720935687e-09
1917,5.1434867342452824e-08,3.114655393717961e-09,1.3181636552125503e-08,6.517845667947901e-10,4.235111755338369e-09
1918,4.952905867879252e-08,3.1434158718440005e-09,1.6678654207735732e-08,4.5275647120313067e-10,4.454080674723811e-09
1919,6.210737293899093e-08,3.737765249097905e-09,1.2298089914486443e-08,4.191534619391035e-11,4.44705164062301e-09
1920,6.223905138888089e-08,2.80976571473809e-09,1.7341040234716435e-08,6.393982367379282e-11,4.317627994219832e-09
1921,1.487119808883465e-07,2.9222121478552793e-09,1.964282800205013e-08,6.393982367379282e-11,5.084901593042725e-09
1922,1.425746800699988e-07,8.460698420634634e-09,2.3833592511275052e-08,4.879503051613554e-11,1.681377471081578e-08
1923,1.3372598271578694e-07,8.457500456915401e-09,2.8496870931434985e-08,7.211788606774152e-11,1.770034576052483e-08
1924,1.564827758601276e-07,1.0641472300565445e-08,3.765689932992501e-08,6.386373632308714e-10,2.2066807228715568e-08
1925,1.5868498832410133e-07,1.2407115432266911e-08,4.263975560434404e-08,8.352280593339399e-10,2.6072191360225283e-08
1926,1.494635403855225e-07,1.1998055348841748e-08,4.544088198380322e-08,9.087756103198785e-10,2.7966514235374824e-08
1927,1.489667280006403e-07,1.2037509503071142e-08,4.118856890674863e-08,9.299317347912148e-10,3.068168194508836e-08
1928,7.337435925514058e-08,1.2016301007793702e-08,5.2644438921262936e-08,9.51577108776469e-10,3.4141776528955655e-08
1929,7.166850217653144e-08,5.118106325656996e-09,5.3469122258755145e-08,9.755915222501142e-10,2.4294591810525287e-08
