year,vaccination,antibiotics,smallpox,polio
1850,3.071072122384777e-06,8.890621624318973e-08,1.1575532118390797e-06,6.179564955577366e-08
1851,2.9795229711027104e-06,7.144997316577139e-08,1.1705726945088202e-06,6.341152675171104e-08
1852,2.948709017699021e-06,5.9541644304809495e-08,1.1720859091438978e-06,6.363783423372442e-08
1853,3.0035915476694134e-06,5.103569511840814e-08,1.1724910571965706e-06,6.569462308274915e-08
1854,3.5132655509885676e-06,5.0975089657282324e-08,1.3261325830476217e-06,6.55123381654299e-08
1855,3.5324699356108013e-06,3.846163784285547e-10,1.3659332760112316e-06,6.591291526073357e-08
1856,3.66894330535875e-06,4.360520734174905e-09,1.332662239038131e-06,6.614481293639887e-08
1857,3.4471834646459295e-06,4.361185048016937e-09,1.3253873474918163e-06,7.036443465193085e-08
1858,3.5077784080580647e-06,4.129042068574356e-09,1.308326194874151e-06,7.224861105413284e-08
1859,3.5648444206718262e-06,4.250900845611685e-09,1.3194243236393433e-06,7.438963961492462e-08
1860,3.908554380213251e-06,4.555876921750824e-09,1.349751777076794e-06,7.196404680894934e-08
1861,3.7342908072446335e-06,4.612363606128409e-09,1.2548264699699781e-06,7.328783974136499e-08
1862,3.856445509597961e-06,6.06747175914611e-09,1.2979498746901186e-06,7.638804029002394e-08
1863,3.997631634230661e-06,2.187043157686474e-09,1.402178001010311e-06,7.879994867732165e-08
1864,4.374371034795591e-06,2.656955270875981e-09,1.4008843357718855e-06,8.364444676572142e-08
1865,4.887511122676967e-06,2.789634923854629e-09,1.5086404146253633e-06,8.23924944144088e-08
1866,5.401651224344407e-06,1.8770997894934638e-08,1.494697944018749e-06,8.413786570634788e-08
1867,5.344989747056518e-06,1.8466021818795497e-08,1.5090433479945733e-06,8.807679952038683e-08
1868,6.219254033672834e-06,1.8857652074798026e-08,1.726519717986414e-06,9.127475624521558e-08
1869,6.726877986449966e-06,1.729754043175039e-08,1.7974936326048405e-06,9.17971468838985e-08
1870,6.71872746542996e-06,1.8046793860891445e-08,1.8637991909820073e-06,9.00966784908189e-08
1871,6.5850294827133174e-06,1.7609899649606575e-08,1.9369396472132143e-06,8.19337295708346e-08
1872,6.346262981285885e-06,1.7518171710869824e-08,1.877362707514152e-06,8.069729988204243e-08
1873,6.0916723063948145e-06,1.4149499627524875e-09,1.9197970337257535e-06,8.210839675631171e-08
1874,6.362590273819738e-06,3.499585474980066e-08,1.924779118438786e-06,8.546265559524916e-08
1875,5.734293610869048e-06,3.4868658020460944e-08,1.74135897802939e-06,9.405638738492682e-08
1876,5.333295610349913e-06,3.674692521303337e-08,1.7211365034138938e-06,9.669214274492838e-08
1877,5.459618576659458e-06,3.6042002719640006e-08,1.622080311847185e-06,9.91686056130346e-08
1878,5.647125004567702e-06,3.759369182620986e-08,1.690870250417983e-06,1.099698245798919e-07
1879,6.358349950679504e-06,3.765748154971327e-08,1.818968700614424e-06,1.282436238155985e-07
1880,6.781399067433216e-06,6.150032812774723e-08,1.9196300806711974e-06,1.3694424448397668e-07
1881,6.600082039247874e-06,2.817194810370413e-08,2.038239596530949e-06,1.3617491968963084e-07
1882,6.765888581331378e-06,3.268005535628227e-08,2.3380739797573824e-06,1.3300485179890131e-07
1883,6.9625417649733985e-06,3.086603341965041e-08,2.3414859592816943e-06,1.427773832813577e-07
1884,6.870727111569457e-06,3.112286852045644e-08,2.3298421767086504e-06,1.5632601403835012e-07
1885,6.63654734012198e-06,3.274063423153173e-08,2.2627186623428282e-06,1.5656185316435612e-07
1886,6.125790510022203e-06,3.4153266702847366e-08,2.2252223583762998e-06,1.4438732542920718e-07
1887,5.563060025589753e-06,1.0614393774635975e-08,2.149762874889153e-06,1.445700463786892e-07
1888,5.311070171590667e-06,1.1225959967164911e-08,2.0979653511586453e-06,1.5243829617642542e-07
1889,5.076114822445885e-06,6.789495969407509e-09,1.9285191275031366e-06,1.5639572621089265e-07
1890,4.930218749572239e-06,7.003503309034796e-09,1.9949759355597507e-06,1.4940522222569743e-07
1891,4.996490692933873e-06,2.893446468136115e-08,2.3473478216422857e-06,1.4024118361837574e-07
1892,5.055915964240804e-06,3.8223000796224123e-08,2.6099234745454884e-06,1.3970275956700003e-07
1893,5.1479313053651566e-06,3.689012026012303e-08,2.853205133490633e-06,1.379703020562165e-07
1894,5.852975403643411e-06,3.7977928252616196e-08,3.0909323314176613e-06,1.2823359544064265e-07
1895,6.6978227632067245e-06,3.7706631095257854e-08,3.4004506027482e-06,1.2034126055977217e-07
1896,7.229913870381616e-06,3.75853935990251e-08,3.912347391071031e-06,1.1125615214816317e-07
1897,7.373800676597447e-06,4.202563685146948e-08,4.5063684466534985e-06,1.0929395901003248e-07
1898,7.601525246465306e-06,1.9860377207882507e-08,5.24295826512652e-06,1.1037172488657734e-07
1899,8.571571825655155e-06,7.813009628154786e-09,6.470547450732056e-06,1.0669451947339528e-07
1900,8.67697955949812e-06,1.0899295680274638e-08,7.3599950032944765e-06,1.0915909512806568e-07
1901,8.352457009712972e-06,1.1255456114752806e-08,8.142108724890865e-06,1.0965137283872447e-07
1902,7.929262705731943e-06,1.0869281800004617e-08,8.652004370089475e-06,1.1214689554783774e-07
1903,7.529995782208841e-06,1.6909857034460733e-08,8.682421115021757e-06,1.1287112787274265e-07
1904,7.556394099391842e-06,1.241331355166559e-08,8.53819626708433e-06,1.0969229404165861e-07
1905,7.312129877082693e-06,1.304380686696043e-08,8.073138399059385e-06,1.0913432345129236e-07
1906,6.4392258565248994e-06,1.2862331111902175e-08,7.055333871416484e-06,1.0568600972149511e-07
1907,6.021372216074334e-06,1.0924717550240905e-08,6.603298828622427e-06,1.0844865345432148e-07
1908,5.963497004911135e-06,1.0041416139060033e-08,6.165363205111264e-06,1.1944385115901313e-07
1909,5.816578950300157e-06,1.180548081117624e-08,5.80297190059095e-06,1.2322460274383218e-07
1910,5.880298445504195e-06,7.050029203283158e-09,5.821531768138552e-06,1.294459552880767e-07
1911,5.836576463025266e-06,7.918355499070273e-09,5.828079431629314e-06,1.3805322941960541e-07
1912,5.889792414036166e-06,1.3381241461115791e-08,5.797487588665717e-06,1.3599291362861467e-07
1913,5.782949687370222e-06,1.4872479569311942e-08,5.795246173485273e-06,1.4423258067251613e-07
