year,nuclear energy,nuclear reactor,nuclear physics,nuclear bomb
1850,0.0,9.140486284531235e-11,7.140205926514653e-10,0.0
1851,4.3435818275483486e-10,1.190044940369006e-09,2.060444553864116e-09,0.0
1852,4.1831601608569946e-10,9.917041169741716e-10,1.9987914471701154e-09,0.0
1853,3.5855658521631387e-10,8.500321002635758e-10,1.713249811860099e-09,0.0
1854,3.5855658521631387e-10,8.500321002635758e-10,2.098673282776734e-09,0.0
1855,4.5873031167304694e-10,8.47887613294621e-10,2.1487601460051006e-09,0.0
1856,8.377685093271684e-10,8.47887613294621e-10,2.5277983357290576e-09,4.737977470676518e-11
1857,8.377685093271684e-10,8.47887613294621e-10,2.1197865684996486e-09,4.737977470676518e-11
1858,1.2967949293761295e-09,7.644203762044048e-10,1.9352319707050772e-09,2.1222597488902905e-10
1859,1.2484941889846978e-09,7.644203762044048e-10,1.693728268747918e-09,2.1222597488902905e-10
1860,1.4230843725648867e-09,7.644203762044048e-10,2.2756955486702424e-09,2.1222597488902905e-10
1861,1.4230843725648867e-09,7.644203762044048e-10,1.8902720777536075e-09,2.1222597488902905e-10
1862,2.0668932478238945e-09,9.800415796361911e-10,2.21217651340057e-09,2.1222597488902905e-10
1863,1.9610091447511533e-09,1.025567262066421e-09,1.8331383236766134e-09,2.1037188261249388e-10
1864,1.9610091447511533e-09,1.025567262066421e-09,1.8331383236766134e-09,2.1037188261249388e-10
1865,1.571159975931126e-09,3.1123374909038306e-10,9.539585787976534e-10,4.552568243023001e-11
1866,8.738599633589013e-09,2.1241743721121614e-09,1.166295648946658e-08,5.514625859134473e-10
1867,8.564009450008823e-09,2.1241743721121614e-09,1.1080989209544255e-08,5.926505397546578e-10
1868,8.692125681917875e-09,2.252290604021212e-09,1.163615954781681e-08,5.926505397546578e-10
1869,7.948143080202134e-09,1.986582537361059e-09,1.1264168248941479e-08,5.926505397546578e-10
1870,7.674988985620753e-09,1.981298125564024e-09,1.1264168248941479e-08,5.471248573244278e-10
1871,8.602480129032182e-09,2.1745254406648124e-09,1.1264168248941479e-08,6.244157849507763e-10
1872,8.223047032978366e-09,2.1745254406648124e-09,1.1264168248941479e-08,6.244157849507763e-10
1873,1.0556073753204792e-09,3.98742475545991e-10,5.551703382725545e-10,1.1847888146755889e-10
1874,3.326630459194695e-09,9.286478649553738e-10,1.6906818762445803e-09,1.9084208023402637e-10
1875,3.618624015512749e-09,1.2588332202031642e-09,2.0521147122857084e-09,1.9084208023402637e-10
1876,4.458067213005837e-09,1.3683258137664467e-09,2.307597426634952e-09,1.9084208023402637e-10
1877,4.458067213005837e-09,1.3280845431332518e-09,2.4073890896631714e-09,3.23897630938319e-10
1878,4.670383429201357e-09,2.5855211344920956e-09,3.6508153087945667e-09,3.5022555490625354e-10
1879,4.8696997386902095e-09,2.6187405200677513e-09,3.6508153087945667e-09,3.5022555490625354e-10
1880,1.0439975043193987e-08,5.554482582215136e-09,1.2694689529738464e-08,5.066939645637092e-10
1881,8.198985185225995e-09,5.024577192805753e-09,1.158921121767266e-08,3.9314281195603126e-10
1882,7.994778200570709e-09,4.6279621186893846e-09,1.0703451299879215e-08,4.239860684762675e-10
1883,7.583185789623265e-09,4.549030295310428e-09,1.0875819356215288e-08,4.239860684762675e-10
1884,7.757302486873944e-09,4.607069194393989e-09,1.0776027693187068e-08,2.9093051777197484e-10
1885,7.1971585278797684e-09,3.156405287934356e-09,9.61541053128607e-09,2.425177043312894e-10
1886,8.912807706159701e-09,3.1494183055131538e-09,1.0008896592480658e-08,2.94982510640196e-10
1887,4.13144657374076e-09,1.7651858546281167e-10,1.0702109278147377e-09,2.4370265726071846e-10
1888,4.999999600859998e-09,5.359530854834712e-10,1.2455688544069486e-09,2.693765508273874e-10
1889,4.908526946012515e-09,5.738106914224669e-10,1.2893836871213133e-09,2.8830535379688524e-10
1890,4.769389002782073e-09,5.913687277964946e-10,1.174305157082754e-09,2.8830535379688524e-10
1891,4.887438041580238e-09,5.820241154110204e-10,1.6125537532258556e-09,2.8830535379688524e-10
1892,4.841772193493148e-09,6.247439192958686e-10,1.93558282100627e-09,2.330993156432878e-10
1893,3.0583306522201175e-09,6.861941471385842e-10,1.93666859533386e-09,1.8063450933438118e-10
1894,2.458336732593023e-09,7.701587046675991e-10,1.9994091541139116e-09,9.643709243865674e-11
1895,1.680477891761813e-09,4.710879127266056e-10,2.0354728339341423e-09,7.07631988719878e-11
1896,1.9982781243202805e-09,4.821013945198262e-10,2.0897986079721723e-09,2.099113938225372e-11
1897,1.053338080845924e-08,1.56343098388158e-09,8.218411697212348e-09,1.6217219432425522e-10
1898,1.0583818989868506e-08,2.0800331734793787e-09,8.39685016359607e-09,1.7930239039541465e-10
1899,1.056867810925574e-08,2.1756751539259156e-09,8.198554708143442e-09,1.7930239039541465e-10
1900,1.1106517838358315e-08,2.2767874074165154e-09,7.941288250006602e-09,1.9646556207294656e-10
1901,1.0950153363418835e-08,2.257934404924024e-09,7.805914912466834e-09,1.7547442269069283e-10
1902,1.1189136434846297e-08,2.2956735560139154e-09,8.136726758637255e-09,1.7547442269069283e-10
1903,1.4453497495078451e-08,3.894686691208182e-09,1.764488072518246e-08,2.3599020158661585e-10
