year,nuclear energy,nuclear reactor,nuclear physics,nuclear bomb,quantum mechanics,theory of relativity
1900,1.8120619636741164e-08,3.538327696811505e-09,1.2955110768875233e-08,3.0708023970871245e-10,3.902996127680414e-09,4.124590145121454e-09
1901,1.4542073797918497e-08,2.921818334500337e-09,1.0409666703625753e-08,2.4566419176696993e-10,3.4186544678460604e-09,4.571214276549718e-09
1902,1.2538057062490745e-08,2.549301947781431e-09,9.342366711258728e-09,2.047201598058083e-10,3.5165231814423175e-09,4.653041454453592e-09
1903,1.4453497495078451e-08,3.894686691208182e-09,1.764488072518246e-08,2.3599020158661585e-10,1.290849251894028e-08,9.551082847233542e-09
1904,5.7651528560996395e-09,2.8404998977937805e-09,1.1564751091287995e-08,9.480914664461437e-11,1.1728176973242149e-08,9.142695487589821e-09
1905,5.5527921477164075e-09,2.347560763837908e-09,1.1005949899461115e-08,7.767895057345494e-11,1.1022877113060174e-08,9.661536558886702e-09
1906,5.50536937367539e-09,2.5333097920997106e-09,1.1225644199911296e-08,1.2187587843699125e-10,1.1194538996181106e-08,1.0438627712217041e-08
1907,7.674159836371493e-09,3.37404135583189e-09,1.1380501737418797e-08,1.464502646137638e-10,1.1678226534615556e-08,1.5826924715245386e-08
1908,8.110754040613342e-09,3.5695686743743492e-09,1.1439169563968018e-08,1.464502646137638e-10,1.1662093143365622e-08,2.0655502554399263e-08
1909,7.829532115897842e-09,3.5368729472962097e-09,1.1063124283735728e-08,1.464502646137638e-10,1.1482269259407588e-08,3.255573801811248e-08
1910,7.81076318207008e-09,6.182071264626555e-09,3.466058382766463e-09,8.593448571784076e-11,1.9802609879263475e-09,4.9582156491645435e-08
1911,7.688560833631262e-09,6.10680966212085e-09,3.144608306883599e-09,8.593448571784076e-11,1.9032156049560355e-09,6.553708867659428e-08
1912,8.06478739147552e-09,6.239777901714419e-09,3.552127059753512e-09,1.269996013115409e-10,2.4124103786033705e-09,7.778453747775417e-08
1913,7.987070869765386e-09,5.929243550504916e-09,3.491454558999875e-09,1.0995559621537358e-10,2.5184166577548896e-09,8.499980116387957e-08
1914,5.315559465804816e-09,4.983038467964995e-09,3.615898480437339e-09,8.210493297149718e-11,2.6841368611878784e-09,1.0182485956593862e-07
1915,7.239286738521969e-09,5.933983037085889e-09,5.342050058262541e-09,9.724972612915447e-11,4.10915056247336e-09,1.1374814184807378e-07
