year,quantum mechanics,theory of relativity,general relativity,special relativity
1850,7.140205926514653e-10,0.0,4.760137284343102e-10,0.0
1851,2.2465980409336342e-09,3.900001988021984e-10,6.910668259862974e-10,1.8615351482509369e-10
1852,2.7737788547514226e-09,7.969081598317255e-10,2.8862744416713326e-09,5.495839662990794e-10
1853,2.3775247326440763e-09,7.795828189343418e-10,2.4739495214325706e-09,4.710719711134967e-10
1854,2.8593040752549523e-09,1.890623732966493e-09,2.8593729923492055e-09,5.19249904978076e-10
1855,2.909390938483319e-09,1.943125477981462e-09,2.8593729923492055e-09,5.19249904978076e-10
1856,2.909390938483319e-09,2.390414731236388e-09,3.333170755277186e-09,5.19249904978076e-10
1857,2.50137917125391e-09,2.390414731236388e-09,3.0611629104575803e-09,5.19249904978076e-10
1858,1.4145755162469393e-09,2.1118431606633894e-09,2.839551593858402e-09,3.8628310867443767e-10
1859,6.417636699840301e-10,1.7682799827564315e-09,8.592212338446156e-10,4.817793386457936e-11
1860,6.999603991657872e-10,1.7937517265182684e-09,1.1502048837184832e-09,4.817793386457936e-11
1861,2.1818105655491138e-10,6.827108124861171e-10,7.647814128018484e-10,0.0
1862,2.2123580745159188e-10,7.973638812711467e-10,7.647814128018484e-10,0.0
1863,4.4886421960274193e-10,1.9254245737470347e-09,8.828175175017756e-10,1.3657705125577228e-10
1864,4.4886421960274193e-10,2.255090423920945e-09,8.828175175017756e-10,1.3657705125577228e-10
1865,3.3896675545795416e-10,2.520449729878241e-09,1.0092952188297692e-09,1.3657705125577228e-10
1866,1.1638224570572779e-08,4.494542904520671e-09,7.291345249793579e-09,1.2749350940057168e-09
1867,1.1744779652790782e-08,5.063951718271247e-09,7.12392545747826e-09,1.2749350940057168e-09
1868,1.2342655433420343e-08,5.4672569487530205e-09,7.12392545747826e-09,1.3176405046420673e-09
1869,1.2289513819295296e-08,5.537617443960942e-09,7.350050702990631e-09,1.3176405046420673e-09
1870,1.2222850489676925e-08,4.342395641478345e-09,6.919181917895502e-09,1.181063453386295e-09
1871,1.2222850489676925e-08,4.296762227763905e-09,7.073763773148199e-09,1.181063453386295e-09
1872,1.2222850489676925e-08,5.423761150520028e-09,7.142395080134939e-09,1.181063453386295e-09
1873,9.607503324650578e-10,3.6617998633303728e-09,9.346603649770406e-10,7.986306853930663e-11
1874,2.877769665423001e-09,4.560029223269321e-09,4.633985326415616e-09,6.476188395078606e-10
1875,2.585428276231332e-09,4.758449392453353e-09,4.710368924275089e-09,7.194888256607205e-10
1876,3.0598961896023874e-09,4.75092598198731e-09,4.557238741138241e-09,8.289814192240032e-10
1877,2.8989311070696083e-09,4.510604528773499e-09,4.462801433957608e-09,8.289814192240032e-10
1878,3.7624215608124595e-09,4.29914281158921e-09,4.584536508359501e-09,1.3816152943935125e-09
1879,3.928518490673279e-09,3.6050608411196195e-09,4.389427500044769e-09,1.3816152943935125e-09
