year,spacecraft,satellite
1850,0.0,1.9908891950581875e-06
1851,6.500003313369973e-11,1.8642815048153238e-06
1852,5.4166694278083107e-11,1.798311196695342e-06
1853,4.642859509549981e-11,1.7543298042202847e-06
1854,4.642859509549981e-11,1.7852736257571522e-06
1855,9.89303401104686e-11,1.7641468760106908e-06
1856,9.89303401104686e-11,1.5835339083812374e-06
1857,9.89303401104686e-11,1.6758457679344474e-06
1858,1.6770877940354622e-10,1.7325000003509674e-06
1859,1.6770877940354622e-10,1.700024572163069e-06
1860,3.5069441794988165e-10,1.657829962071438e-06
1861,3.5069441794988165e-10,1.5284253333445818e-06
1862,2.9819267293491285e-10,1.535469450126519e-06
1863,2.732824470687488e-09,1.4434228722746769e-06
1864,2.732824470687488e-09,1.422719964442162e-06
1865,2.6176174362989103e-09,1.3825169830537578e-06
1866,2.279088446141156e-08,1.4286667772621188e-06
1867,2.2607898822865228e-08,1.4411187681925443e-06
1868,2.2697522210941253e-08,1.5368695917164895e-06
1869,2.2697522210941253e-08,1.5275131907291749e-06
1870,2.0262890413188676e-08,1.6394590558783354e-06
1871,2.0668651044632366e-08,1.6128824762111956e-06
1872,2.0668651044632366e-08,1.6436171989145772e-06
1873,4.953840195197148e-10,1.6402502639932339e-06
1874,8.36404560690594e-09,1.8069101953090339e-06
1875,8.91626262505036e-09,1.9074130138209607e-06
1876,9.759566286079594e-09,2.008493079154659e-06
1877,9.829469631096797e-09,2.0419698336025604e-06
1878,9.895418663046536e-09,2.0576937360366235e-06
1879,9.930332476949997e-09,2.0115576450255697e-06
1880,1.0620952837452665e-08,2.0319048013663277e-06
1881,2.7522912500664377e-09,1.925185497496175e-06
1882,2.207679576847278e-09,1.7997946046526588e-06
1883,2.0389511051766007e-09,1.7001881685376117e-06
1884,1.969047760159397e-09,1.5840367732421003e-06
1885,2.3970596479960804e-09,1.5047064369103476e-06
1886,3.5208677303031978e-09,1.5222481703095324e-06
1887,2.885515306852834e-09,1.5044052441887904e-06
1888,3.2095494060088316e-09,1.4865987425188062e-06
1889,3.2170042602031046e-09,1.5132953716801012e-06
1890,2.6942032077537093e-09,1.600501486517406e-06
1891,3.5647748859922247e-09,1.6773322121719858e-06
1892,2.70999649903165e-09,1.6901937624729565e-06
1893,1.574336274441051e-09,1.6253104152700156e-06
1894,1.6295272016662666e-09,1.6134743239248905e-06
1895,1.305493102510269e-09,1.6054427081714704e-06
1896,1.8403635678890647e-09,1.5205432355764562e-06
1897,5.515401092186829e-09,1.4161355035925894e-06
1898,5.149898115096109e-09,1.2770173486284113e-06
1899,5.214238390267261e-09,1.2116981498166979e-06
1900,5.19117671864728e-09,1.2111601391647956e-06
1901,5.0807178543697614e-09,1.1545319793526687e-06
1902,5.356210498939719e-09,1.1471084057238353e-06
1903,5.545491946598195e-09,1.1516538112995737e-06
1904,1.7503877652869093e-09,1.121076170816439e-06
1905,1.2453190641391135e-09,1.1619606589923544e-06
1906,2.377234514397816e-09,1.183401525725206e-06
1907,4.838463762582964e-09,1.1776414182865632e-06
1908,7.418661238894104e-09,1.1925032755552171e-06
1909,7.1707306104855965e-09,1.0850947655325982e-06
1910,2.6672156552831613e-08,1.021874450200601e-06
1911,2.6640449072935975e-08,9.535193017384813e-07
1912,2.6799004255807975e-08,9.096938198283055e-07
1913,2.6787426421878302e-08,8.644493085796513e-07
1914,2.432619717369316e-08,8.310471038949378e-07
1915,2.3307994484863693e-08,7.56749836382044e-07
1916,2.3430951101973844e-08,7.354765233661251e-07
1917,3.114655393717961e-09,7.222594367663403e-07
1918,3.1434158718440005e-09,7.144834226480157e-07
1919,3.737765249097905e-09,7.001941901206367e-07
1920,2.80976571473809e-09,7.100606399999622e-07
1921,2.9222121478552793e-09,7.032476948712737e-07
1922,8.460698420634634e-09,7.472083319066363e-07
1923,8.457500456915401e-09,8.027226521584956e-07
1924,1.0641472300565445e-08,8.472847133741572e-07
1925,1.2407115432266911e-08,8.652809134598475e-07
1926,1.1998055348841748e-08,8.877941022333857e-07
1927,1.2037509503071142e-08,8.710357581875883e-07
1928,1.2016301007793702e-08,8.937175763890082e-07
1929,5.118106325656996e-09,8.77195388707516e-07
1930,6.631656676184657e-09,9.181378734116459e-07
1931,1.256595217562812e-08,9.975074530186947e-07
1932,1.2804867729635357e-08,1.0924526369241301e-06
1933,1.5542255490544728e-08,1.1114949199761019e-06
1934,1.5583133668371574e-08,1.1579799261696164e-06
1935,1.6580790054446633e-08,1.1887918683736335e-06
1936,1.97913050511581e-08,1.2321090552904122e-06
1937,2.0486887813182212e-08,1.1918924684043273e-06
1938,1.3703294285008891e-08,1.1318187385407036e-06
1939,2.197610177366384e-08,1.1010024795358016e-06
1940,1.9746047204084938e-08,1.1716387799002144e-06
1941,2.405245019226105e-08,1.2817010821564168e-06
1942,2.4806751307877254e-08,1.4102630263579385e-06
1943,4.527150339130236e-08,1.5965212940877954e-06
1944,7.268105552325568e-08,1.968562262025638e-06
1945,7.570569098598005e-08,2.2414595391191076e-06
1946,8.573718468320366e-08,2.6372186613546745e-06
1947,9.240287412805501e-08,2.968999138224555e-06
1948,9.103191737120612e-08,3.281290660390417e-06
1949,1.0172226508739105e-07,3.5499453159916683e-06
1950,8.645697827499735e-08,3.825022930012015e-06
1951,7.110523749163735e-08,4.0378193451674956e-06
1952,7.316238132786575e-08,4.3592686539893426e-06
1953,7.756668720025418e-08,5.008542749302641e-06
1954,9.252051789778092e-08,6.288220080514455e-06
1955,1.5231108491902438e-07,8.342678433795722e-06
1956,3.45811101500258e-07,1.0529688665883441e-05
1957,6.288517203158404e-07,1.2763348855011308e-05
1958,1.213181705809038e-06,1.5580682243816163e-05
1959,4.473907178821028e-06,2.046237282879052e-05
1960,6.252860317143164e-06,2.294075591586469e-05
1961,7.982240075270803e-06,2.463486014546236e-05
1962,1.0324083855753736e-05,2.5715125340346795e-05
1963,1.2740700481929578e-05,2.7009636182486115e-05
1964,1.5132525437674563e-05,2.7664992119623226e-05
1965,1.673248290704318e-05,2.736756698595855e-05
1966,1.5303896759633062e-05,2.498850187748758e-05
1967,1.5180460755865558e-05,2.462603755962586e-05
1968,1.5143812439483944e-05,2.447265226887144e-05
1969,1.4348694605814671e-05,2.4027536726732383e-05
1970,1.3133690913491591e-05,2.333783147280753e-05
1971,1.170635548370618e-05,2.3440790966690527e-05
1972,1.0818996437527468e-05,2.387867326498443e-05
1973,1.0181505087660168e-05,2.4433549145084855e-05
1974,9.78991223275573e-06,2.5340221538629392e-05
1975,9.22169341980147e-06,2.6149441786011656e-05
1976,8.686547390977597e-06,2.6980415782418277e-05
1977,8.395478979699484e-06,2.787654695371852e-05
1978,8.118307688066904e-06,2.8568735144420184e-05
1979,7.955417260063768e-06,2.9917894153186353e-05
1980,7.7986508943338e-06,3.059748051522807e-05
1981,7.60267106362075e-06,3.126933375239917e-05
1982,7.558103131291968e-06,3.2104814619872605e-05
1983,7.684679137095632e-06,3.345850901886089e-05
1984,7.808035872715533e-06,3.415427792268539e-05
1985,8.100062818324919e-06,3.496096849175956e-05
1986,8.129498492540474e-06,3.48439979234172e-05
1987,8.285720671860222e-06,3.476325030403262e-05
1988,8.474360738221418e-06,3.426284394793454e-05
1989,8.594219122772173e-06,3.399199020545244e-05
1990,8.423363904544853e-06,3.2670850284180884e-05
1991,8.420980752329603e-06,3.236651891873927e-05
1992,8.311021783161516e-06,3.168749543647209e-05
1993,7.921710757078212e-06,3.102614232375345e-05
1994,7.500010918347146e-06,3.071328967507725e-05
1995,6.967569215175575e-06,3.0531355053296594e-05
1996,6.4387781679085625e-06,3.0024353106585166e-05
1997,6.158987722366354e-06,3.008914972367295e-05
1998,5.519575729806547e-06,2.9987539319011247e-05
1999,4.9690962440657974e-06,2.9171239702918683e-05
2000,4.779331022116854e-06,2.856539990554146e-05
2001,4.598001066113966e-06,2.7963368787758164e-05
2002,4.419138622527693e-06,2.7362075761467558e-05
2003,4.240231676634819e-06,2.6116681141274967e-05
2004,3.9797188693719524e-06,2.4864916420191158e-05
2005,3.7988516129619905e-06,2.2747460704408695e-05
2006,3.639528023212181e-06,2.1255620960606132e-05
2007,3.4147967597724412e-06,1.9702347760893906e-05
2008,3.1959220043731307e-06,1.8056776467696117e-05
2009,3.082358151194699e-06,1.6580639285937844e-05
2010,2.9413381132619473e-06,1.5627979336280922e-05
2011,2.8019286680042958e-06,1.4307026975960267e-05
2012,2.7309299985844855e-06,1.3464395602267943e-05
2013,2.6724001767064465e-06,1.2926855803182695e-05
2014,2.837274860516865e-06,1.238852626731354e-05
2015,2.830814520571323e-06,1.2012042266767205e-05
2016,2.7561549863973156e-06,1.1482926367735655e-05
2017,2.779699111776779e-06,1.1020624673285795e-05
2018,2.8446645696789115e-06,1.0959529006626667e-05
2019,2.9498516542769693e-06,1.0952661877450254e-05
